sample_id,true_label,is_oos,m1_prediction,m1_max_confidence,m1_entropy,m2_prediction,m2_max_confidence,m2_entropy,m2_variance,m2_conf_std,m2_entropy_std
0,60,False,60,0.9869821667671204,0.13209190964698792,60,0.9730459451675415,0.2514820098876953,4.1103223225036345e-07,0.007389575583673533,0.05731592481191211
1,60,False,60,0.9713413715362549,0.26353323459625244,60,0.9414870142936707,0.49403905868530273,5.009652340959292e-06,0.026619189940763555,0.17876699135579419
2,60,False,60,0.9216306805610657,0.635818362236023,60,0.8107425570487976,1.3337876796722412,0.00011787195398937911,0.12300650471255405,0.5830629360156189
3,60,False,60,0.9731932878494263,0.24677588045597076,60,0.9406346082687378,0.4928518235683441,6.125196705397684e-06,0.02885297016812339,0.19939065041449505
4,60,False,60,0.6172137260437012,2.2509446144104004,60,0.488181471824646,2.74929141998291,0.0001602856646059081,0.13069490311958323,0.5110876651789662
5,60,False,60,0.9830752015113831,0.16273531317710876,60,0.9661950469017029,0.2973290979862213,1.1382096545276e-06,0.011817100959108274,0.0811805579324619
6,60,False,60,0.9578158855438232,0.3768867254257202,60,0.9202468395233154,0.6614180207252502,1.1278248166490812e-05,0.04026304109971087,0.27092534402319574
7,60,False,60,0.9419727921485901,0.4886758029460907,60,0.8374884724617004,1.1989150047302246,0.0001255851675523445,0.13439754003208493,0.6823070284418158
8,60,False,60,0.9689871668815613,0.2794310450553894,60,0.9367401599884033,0.5217086672782898,4.048683422297472e-06,0.023382845307135736,0.16159595082059283
9,60,False,60,0.7484968304634094,1.6429548263549805,60,0.6018106937408447,2.328888416290283,0.00012947058712597936,0.1277902319313273,0.532843065412247
10,60,False,60,0.9861022233963013,0.13583369553089142,60,0.9624534249305725,0.3051448464393616,6.4459090935997665e-06,0.02482089947475781,0.1222568653524474
11,60,False,60,0.9798347353935242,0.19455963373184204,60,0.9644740223884583,0.3214128613471985,8.985725230559183e-07,0.011198951854665993,0.0871424240703858
12,60,False,60,0.9727531671524048,0.23434153199195862,60,0.9506632685661316,0.39365071058273315,3.9250935515156016e-06,0.02002072330048101,0.11243226816651279
13,60,False,60,0.9883338212966919,0.12017655372619629,60,0.9778598546981812,0.21227790415287018,6.557503411386278e-07,0.009268001691546377,0.07227823061205096
14,60,False,60,0.9808351397514343,0.187339186668396,60,0.9623835682868958,0.34171050786972046,9.017912248054927e-07,0.011352347161569973,0.08782921735938183
